CD_MUN;NM_MUN; V06001 ; V06002 ; V06003 ; V06004 ; V06005 
2922854;Nova Redenção; 2.646 ; 7.529 ; 3 ; 1.175 ; 1.156.747 
2303907;Chaval; 3.920 ; 12.407 ; 2 ; 1.175 ; 3.164.183 
2208601;Prata do Piauí; 1.091 ; 3.042 ; 2 ; 1.175 ; 1.018.798 
2701803;Carneiros; 2.738 ; 8.899 ; 3 ; 1.175 ; 2.550.182 
2915007;Itaeté; 4.531 ; 13.440 ; 3 ; 1.175 ; 1.216.111 
2503308;Cachoeira dos Índios; 3.132 ; 9.149 ; 2 ; 1.175 ; 1.190.390 
2311355;Quixelô; 5.839 ; 15.904 ; 2 ; 1.174 ; 1.475.265 
2612604;Santa Maria da Boa Vista; 12.515 ; 40.472 ; 3 ; 1.174 ; 1.629.223 
2903276;Barrocas; 5.209 ; 15.200 ; 2 ; 1.174 ; 1.729.901 
2205557;Lagoa Alegre; 2.533 ; 8.248 ; 3 ; 1.174 ; 1.883.396 
2929750;Saubara; 4.421 ; 11.390 ; 2 ; 1.173 ; 1.675.907 
2309409;Novo Oriente; 9.800 ; 27.495 ; 2 ; 1.173 ; 1.432.298 
2507200;Itatuba; 3.484 ; 10.459 ; 2 ; 1.173 ; 1.548.522 
2410405;Pureza; 3.027 ; 9.346 ; 3 ; 1.173 ; 1.301.565 
2904050;Bonito; 5.413 ; 15.800 ; 2 ; 1.173 ; 1.325.384 
2931806;Tremedal; 5.882 ; 16.288 ; 2 ; 1.172 ; 1.171.474 
2804904;Pacatuba; 4.190 ; 12.490 ; 2 ; 1.172 ; 7.322.790 
2610806;Pedra; 7.723 ; 22.771 ; 2 ; 1.172 ; 1.573.309 
2925931;Quixabeira; 3.610 ; 9.447 ; 2 ; 1.172 ; 1.004.814 
2922656;Nordestina; 5.719 ; 18.350 ; 2 ; 1.172 ; 869.129 
1504000;Limoeiro do Ajuru; 7.177 ; 29.525 ; 4 ; 1.172 ; 2.377.184 
2906402;Candeal; 2.774 ; 7.771 ; 2 ; 1.172 ; 1.036.696 
2516755;Tenório; 1.076 ; 2.964 ; 2 ; 1.171 ; 1.249.252 
2917334;Iuiu; 3.499 ; 11.099 ; 3 ; 1.171 ; 934.763 
2303402;Carnaubal; 5.710 ; 17.180 ; 2 ; 1.171 ; 1.248.870 
2111631;São Raimundo do Doca Bezerra; 1.683 ; 5.645 ; 2 ; 1.171 ; 1.366.896 
2210953;Tamboril do Piauí; 1.005 ; 2.945 ; 2 ; 1.171 ; 1.275.706 
2606903;Iguaracy; 4.054 ; 11.064 ; 2 ; 1.171 ; 1.524.428 
2501708;Barra de São Miguel; 2.105 ; 5.904 ; 2 ; 1.171 ; 1.419.669 
2301604;Assaré; 7.744 ; 21.648 ; 2 ; 1.170 ; 2.213.868 
2614006;Serrita; 5.576 ; 18.199 ; 3 ; 1.170 ; 1.409.936 
2100204;Alcântara; 6.271 ; 18.424 ; 2 ; 1.170 ; 1.775.749 
2706422;Pariconha; 3.258 ; 10.552 ; 3 ; 1.169 ; 897.974 
